Geneid	EBF1-dTAG_N_0h_rep1	EBF1-dTAG_N_0h_rep2	EBF1-dTAG_N_0h_rep3	EBF1-dTAG_N_0h_rep4	EBF1-dTAG_N_6h_rep1	EBF1-dTAG_N_6h_rep2	EBF1-dTAG_N_6h_rep3	EBF1-dTAG_N_6h_rep4
ENSMUSG00000101306.1	0	0	0	0	0	0	0	0
ENSMUSG00000088800.1	0	0	0	0	0	0	0	0
ENSMUSG00000101644.1	0	0	0	0	0	0	0	0
ENSMUSG00000099433.1	0	0	0	0	0	0	0	0
ENSMUSG00000089787.2	0	0	0	0	0	0	0	0
ENSMUSG00000042596.7	0	0	0	0	0	0	0	0
ENSMUSG00000100720.1	1	0	0	0	0	0	1	0
ENSMUSG00000025927.13	0	0	0	0	0	0	0	0
ENSMUSG00000100538.1	0	0	0	0	0	0	0	0
ENSMUSG00000101117.1	0	0	0	0	0	0	0	0
ENSMUSG00000100204.1	6	2	3	6	12	7	5	2
ENSMUSG00000084668.1	0	0	0	0	0	0	0	0
ENSMUSG00000102597.1	0	0	0	0	0	0	0	0
ENSMUSG00000043760.16	0	0	0	0	0	0	0	0
ENSMUSG00000104095.1	0	0	0	0	0	0	0	0
ENSMUSG00000089914.2	0	0	0	0	0	0	0	0
ENSMUSG00000090142.2	0	0	1	0	2	0	1	1
ENSMUSG00000070175.1	0	0	0	0	0	0	0	0
ENSMUSG00000065559.1	0	0	0	0	0	0	0	0
ENSMUSG00000099906.1	0	0	0	0	0	0	0	0
ENSMUSG00000065480.1	0	0	0	0	0	0	0	0
ENSMUSG00000025929.4	0	0	0	0	0	0	0	0
ENSMUSG00000041872.9	2	2	14	2	4	3	1	1
ENSMUSG00000041859.10	9407	9077	11566	11998	11369	10674	10739	9043
ENSMUSG00000099714.1	0	0	0	0	2	0	0	0
ENSMUSG00000102121.1	0	0	0	0	0	0	0	0
ENSMUSG00000088858.1	0	0	0	0	0	0	0	0
ENSMUSG00000097934.1	0	0	0	0	0	0	0	0
ENSMUSG00000025931.15	0	0	0	0	0	0	0	0
ENSMUSG00000077314.1	0	0	0	0	0	0	0	0
ENSMUSG00000100929.1	0	0	0	0	0	0	0	0
ENSMUSG00000041809.5	0	0	0	0	0	0	0	0
ENSMUSG00000041779.5	960	893	1113	1205	1317	1428	1304	1280
ENSMUSG00000099971.1	0	0	0	0	0	0	2	0
ENSMUSG00000100819.1	0	0	0	0	0	0	0	0
ENSMUSG00000025933.15	0	3	1	0	0	1	1	0
ENSMUSG00000102633.1	1	0	1	3	0	0	4	0
ENSMUSG00000025934.15	0	0	0	0	0	0	0	0
ENSMUSG00000099343.1	0	0	0	0	0	0	0	0
ENSMUSG00000096375.2	0	0	0	0	0	0	0	0
ENSMUSG00000025936.15	0	0	0	0	0	0	0	0
ENSMUSG00000093963.1	0	0	0	0	0	0	0	0
ENSMUSG00000067750.3	0	0	0	0	0	0	0	0
ENSMUSG00000086194.1	0	0	0	0	0	0	0	0
ENSMUSG00000094436.1	0	0	0	0	0	0	0	0
ENSMUSG00000041722.7	0	0	0	0	0	0	0	0
ENSMUSG00000085507.1	0	0	0	0	0	0	0	0
ENSMUSG00000094926.1	0	0	0	0	0	0	0	0
ENSMUSG00000085079.3	0	0	0	0	0	0	0	0
ENSMUSG00000085679.2	0	0	0	0	0	0	0	0
ENSMUSG00000028033.16	1117	1024	1494	1551	1726	1771	1630	1529
ENSMUSG00000104138.1	52	16	71	21	28	49	56	65
ENSMUSG00000082935.3	19	20	29	21	27	22	36	37
ENSMUSG00000103748.1	160	66	163	195	203	170	118	166
ENSMUSG00000097109.1	21	8	9	13	15	19	10	12
ENSMUSG00000099692.1	0	0	0	0	0	0	0	0
ENSMUSG00000100418.1	0	0	0	0	0	0	0	0
ENSMUSG00000041670.15	0	0	0	0	0	0	0	0
ENSMUSG00000097642.1	0	0	0	0	0	0	0	0
ENSMUSG00000101468.1	0	0	0	0	0	0	0	0
ENSMUSG00000101227.1	0	0	0	0	0	0	0	0
ENSMUSG00000073730.2	0	0	0	0	0	0	0	0
ENSMUSG00000089553.1	0	0	0	0	0	0	0	0
ENSMUSG00000102766.1	0	0	0	0	0	0	0	0
ENSMUSG00000065405.3	0	0	0	0	0	0	0	0
ENSMUSG00000097970.1	0	0	0	0	0	0	0	0
ENSMUSG00000065567.1	0	0	0	0	0	0	0	0
ENSMUSG00000100775.1	0	0	0	0	0	0	0	0
ENSMUSG00000101226.1	0	0	0	0	0	0	0	0
ENSMUSG00000026158.11	852	874	1099	1095	1193	1263	1209	1085
ENSMUSG00000097920.1	0	0	0	0	0	0	0	1
ENSMUSG00000099503.1	0	0	0	0	0	0	0	0
ENSMUSG00000026156.8	2	1	2	0	0	2	1	3
ENSMUSG00000026155.13	1344	1493	2062	1945	1854	1974	2172	1779
ENSMUSG00000026154.4	0	0	0	0	0	0	0	0
ENSMUSG00000102495.1	0	0	0	0	0	0	0	0
ENSMUSG00000026153.15	0	0	0	0	0	0	0	0
ENSMUSG00000102398.1	0	0	0	0	0	0	0	0
ENSMUSG00000097670.1	0	0	0	0	0	0	0	0
ENSMUSG00000026147.16	0	0	0	0	0	0	0	0
ENSMUSG00000026141.13	0	0	0	0	0	0	0	0
ENSMUSG00000077463.1	0	0	0	0	0	0	0	0
ENSMUSG00000099997.1	12	7	10	12	7	7	10	22
ENSMUSG00000100131.1	52	43	70	39	51	55	78	37
ENSMUSG00000067736.2	13	10	13	2	11	1	8	11
ENSMUSG00000101939.1	219	183	210	189	244	261	215	174
ENSMUSG00000101111.1	412	394	526	456	453	515	613	592
ENSMUSG00000100862.1	208	195	265	235	235	222	322	309
ENSMUSG00000102070.1	244	177	178	212	195	238	253	245
ENSMUSG00000101249.1	633	548	616	613	609	669	735	807
ENSMUSG00000073725.8	863	723	1100	1044	1255	1383	1298	1264
ENSMUSG00000100808.1	0	0	0	0	0	0	0	0
ENSMUSG00000100483.1	0	0	0	0	0	0	0	0
ENSMUSG00000100450.1	0	0	0	0	0	0	0	0
ENSMUSG00000099392.1	0	0	0	0	0	0	0	0
ENSMUSG00000033569.17	0	0	0	0	0	0	0	0
ENSMUSG00000080849.1	0	0	0	0	0	0	0	0
ENSMUSG00000104257.1	0	0	0	0	0	0	0	0
ENSMUSG00000096866.1	0	0	0	0	0	0	0	0
ENSMUSG00000102296.1	0	0	0	0	0	0	0	0
ENSMUSG00000103209.1	0	0	0	0	0	0	0	0
ENSMUSG00000104027.1	0	0	0	0	0	0	0	0
ENSMUSG00000102407.1	0	0	0	0	0	0	0	0
ENSMUSG00000103214.1	0	0	0	0	0	0	0	0
ENSMUSG00000104100.1	0	0	0	0	0	0	0	0
ENSMUSG00000084740.1	0	0	0	0	0	0	0	0
ENSMUSG00000103889.1	0	0	0	0	0	0	0	0
ENSMUSG00000101301.1	0	0	0	0	0	0	0	0
